//,패키지    : 50000 ~ ( 500 ),,,,,,,,,,,,,,,,,,루비(5000),슈퍼백신(802),부활석(1200),,,,,,,,,,,,,,,,,,,,,,,,,,
//,              필수(50000 ~ 59999(관리자가 입력:테이블사용불가),,,,,,,,,,,,,,,,,코인(0),코인(5100),알바의귀재(1002),합성 1시간단축(1600),,,,,,,,,,,,,,,,,,,,,,,,,,
//,동물뽑기 : 60000 ~  ( 600 ),,,,,,,,,,,,,,,,,루비(1),하트(2000),특수촉진제(1103),긴급요청 티켓(2100),,,,,,,,,,,,,,,,,,,,,,,,,,
//,야바위    : 70000 ~  ( 700 ),,,,,,,,,,,,,,,,,하트(2),건초(900),,일반 교배 티켓(2200),,,,,,,,,,,,,,,,,,,,,,,,,,
//label(version),보물      : 120000 ~ ( 1200 ) ,,,,,,,,,,,,,,,,,건초(3),우정포인트(1900),,프리미엄 교배 티켓(2300),,,,,,,,,,,,,,,,,,,,,,,,,,
//,보물뽑기 : 130000 ~ ( 1300 ) ,,,,,,,,,,,"동물, 보물에서는 뽑기 오픈조건임",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,묶음가격,묶음가격,,단일가격,,param1,param2,param3,param4,param5,param6,param7,param8,param9,param10,param11,param12,param13,param14,param15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30
//,아이템 코드,카테고리,서브 카테고리,장착 슬롯,아이템 이름,사용 여부,상단게시,등급,세일여부,아이콘,판매요구 레벨,요구 주택 레벨,코인가격,캐시가격,1회구매수량,판매,아이템 설명,액세서리 슬롯(사용안함),등급을 색으로변경,생산 속도(단계),신선도(다른것이 사용됨 이제는 사용안함),질병 저항,먹이 소모량,아이템 생산 확률(%),피버 생산 확률(%),몸체,회북요구량,먹이통 최대,부활타임(1h),부활석 소모,특수능력,상인거래단가상승,코인,하트,세포 촉진제,신선도,,턴타임,,시간,,방어,,HP,,레벨당 유전자필요수량,
label(animal),itemcode,category,subcategory,equpslot,itemname,activate,toplist,grade,discount,icon,playerlv,houselv,gamecost,cashcost,buyamount,sellcost,description,accessorykind,stargrade,milkspeed,milkfresh,res_disease,consume,coin_creation,fever_creation,bodycode,healpoint,consumeinit,revivaltime,reviveconsume,special_ability,animal_danga,upgamecost,upheart,upboost,freshbase,freshconst,attbase,attconst,timebase,timeconst,defbase,defconst,hpbase,hpconst,upstep,upstepmax
,5125,튜토보상 코인(51),코인(51),없음(0),코인,0,-1,저급(0),0,icoin001,0,0,0,0,1500,0,1500만 코인,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5126,튜토보상 코인(51),코인(51),없음(0),코인,0,-1,저급(0),0,icoin001,0,0,0,0,2000,0,2000만 코인,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5127,튜토보상 코인(51),코인(51),없음(0),코인,0,-1,저급(0),0,icoin001,0,0,0,0,4000,0,4000만 코인,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5128,튜토보상 코인(51),코인(51),없음(0),코인,0,-1,저급(0),0,icoin001,0,0,0,0,6000,0,6000만 코인,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
label(contest),itemcode,category,subcategory,equpslot,itemname,activate,toplist,grade,discount,icon,playerlv,houselv,gamecost,cashcost,buyamount,sellcost,description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5300,소모품(3),대회(53),없음(0),대회티켓B,0,-1,저급(0),0,16,0,0,200,0,1,1,대회티켓B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5301,소모품(3),대회(53),없음(0),대회티켓A,0,-1,저급(0),0,16,0,0,0,50,1,1,대회티켓A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5302,소모품(3),대회(53),없음(0),대회티켓S,0,-1,저급(0),0,16,0,0,0,100,1,1,대회티켓S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//연속거래,,,,,,,,,,,,,,,,,,서버루틴,,클라이언트체킹,,,,,,,,,,,,,,,,,,,,,,,,,,,
label(contrade),itemcode,category,subcategory,equpslot,itemname,activate,toplist,grade,discount,icon,playerlv,houselv,gamecost,cashcost,buyamount,sellcost,description,mintrade,maxtrade,rangemin,rangemax,,,,,,,,,,,,,,,,,,,,,,,,,,
,5400,연속거래(54),연속거래(54),없음(0),연속거래30 60미만,0,-1,저급(0),0,16,0,0,0,50,1,1,연속거래30 60미만,0,60,10,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,5401,연속거래(54),연속거래(54),없음(0),연속거래60 120미만,0,-1,저급(0),0,16,0,0,0,80,1,1,연속거래60 120미만,60,120,61,120,,,,,,,,,,,,,,,,,,,,,,,,,,
,5402,연속거래(54),연속거래(54),없음(0),연속거래 120이상,0,-1,저급(0),0,16,0,0,0,100,1,1,연속거래 120이상,120,999999,121,-999,,,,,,,,,,,,,,,,,,,,,,,,,,
//필드오픈,,,,,,,,,,,,,,,,,,필드: 0 ~ 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label(fieldinfo),itemcode,category,subcategory,equpslot,itemname,activate,toplist,grade,discount,icon,playerlv,houselv,gamecost,cashcost,buyamount,sellcost,description,fieldnum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5600,필드오픈(56),필드오픈(56),없음(0),필드5,0,-1,저급(0),0,16,3,0,0,0,1,1,필드5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5601,필드오픈(56),필드오픈(56),없음(0),필드6,0,-1,저급(0),0,16,6,0,0,0,1,1,필드6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5602,필드오픈(56),필드오픈(56),없음(0),필드7,0,-1,저급(0),0,16,9,0,0,0,1,1,필드7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5603,필드오픈(56),필드오픈(56),없음(0),필드8,0,-1,저급(0),0,16,12,0,0,0,1,1,필드8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//튜토리얼,,,,,,,,,,,,,,,,,,서버루틴,,클라이언트체킹,,,,,,,,,,,,,,,,,,,,,,,,,,,
label(tutorial),itemcode,category,subcategory,equpslot,itemname,activate,toplist,grade,discount,icon,playerlv,houselv,gamecost,cashcost,buyamount,sellcost,description,rewardkind,rewardvalue,checknext,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5500,튜토리얼(55),튜토리얼(55),없음(0),초기메뉴 설명,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),50,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5501,튜토리얼(55),튜토리얼(55),없음(0),초기메뉴 우유채집,0,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),50,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5502,튜토리얼(55),튜토리얼(55),없음(0),인벤토리 안내,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),50,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5503,튜토리얼(55),튜토리얼(55),없음(0),거래 설명,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),50,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5504,튜토리얼(55),튜토리얼(55),없음(0),아이템안내 소모템,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),50,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5505,튜토리얼(55),튜토리얼(55),없음(0),아이템안내 긴급지원,0,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),50,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5506,튜토리얼(55),튜토리얼(55),없음(0),아이템안내 구매장착,0,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),50,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5507,튜토리얼(55),튜토리얼(55),없음(0),경작지 안내,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),50,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5508,튜토리얼(55),튜토리얼(55),없음(0),늑대 사냥,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),50,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5509,튜토리얼(55),튜토리얼(55),없음(0),튜토리얼10,0,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),50,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5510,튜토리얼(55),튜토리얼(55),없음(0),튜토리얼11,0,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),50,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5511,튜토리얼(55),튜토리얼(55),없음(0),튜토리얼12,0,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),50,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
//주택정보,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label(houseinfo),itemcode,category,subcategory,equpslot,itemname,activate,toplist,grade,discount,icon,playerlv,houselv,gamecost,cashcost,buyamount,sellcost,description,step,wantfame,cashcomplete,upgradetime,feedmax,heartmax,playcoin,upgrade_type,fpointmax,dangapercashcomplete,dangatime,,,,,,,,,,,,,,,,,,,
,6000,업글(60),집(60),없음(0),초가집,0,-1,저급(0),0,16,0,0,0,0,1,1,초가집 설명,0,0,0,0,20,500,100,1,500,2,300,,,,,,,,,,,,,,,,,,,
,6001,업글(60),집(60),없음(0),고급 초가집,0,-1,저급(0),0,16,0,0,100,0,1,1,고급 초가집  설명,1,3,10,120,40,500,100,1,500,2,300,,,,,,,,,,,,,,,,,,,
,6002,업글(60),집(60),없음(0),갈색 오두막,0,-1,저급(0),0,16,0,0,300,0,1,1,갈색 오두막 설명,2,6,20,600,70,500,100,1,500,2,300,,,,,,,,,,,,,,,,,,,
,6003,업글(60),집(60),없음(0),목재 주택,0,-1,저급(0),0,16,0,0,900,0,1,1,목재 주택 설명,3,9,30,3600,90,500,100,1,500,2,300,,,,,,,,,,,,,,,,,,,
,6004,업글(60),집(60),없음(0),고급 주택,0,-1,저급(0),0,16,0,0,2700,0,1,1,고급 주택 설명,4,16,50,14400,120,500,100,1,500,2,300,,,,,,,,,,,,,,,,,,,
,6005,업글(60),집(60),없음(0),고급 빌라,0,-1,저급(0),0,16,0,0,8100,0,1,1,고급 빌라 설명,5,24,70,86400,180,500,100,1,500,2,300,,,,,,,,,,,,,,,,,,,
,6006,업글(60),집(60),없음(0),초호화 저택,0,-1,저급(0),0,16,0,0,24300,0,1,1,초호화 저택 설명,6,34,160,172800,240,500,100,1,500,2,300,,,,,,,,,,,,,,,,,,,
,6007,업글(60),집(60),없음(0),명품 천연석 저택,0,-1,저급(0),0,16,0,0,500000,0,1,1,명품 천연석 저택,7,53,480,432000,340,500,100,1,500,2,300,,,,,,,,,,,,,,,,,,,
,6008,업글(60),집(60),없음(0),분홍 대리석 저택,0,-1,저급(0),0,16,0,0,1500000,0,1,1,분홍 대리석 저택,8,63,720,864000,450,500,100,1,500,2,300,,,,,,,,,,,,,,,,,,,
,6009,업글(60),집(60),없음(0),예약집3,0,-1,저급(0),0,16,0,0,2000000,0,1,1,예약집3,9,34,160,864000,340,500,100,1,500,2,300,,,,,,,,,,,,,,,,,,,
,6010,업글(60),집(60),없음(0),예약집4,0,-1,저급(0),0,16,0,0,5000000,0,1,1,예약집4,10,34,160,864000,340,500,100,1,500,2,300,,,,,,,,,,,,,,,,,,,
//우유탱크,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label(milktank),itemcode,category,subcategory,equpslot,itemname,activate,toplist,grade,discount,icon,playerlv,houselv,gamecost,cashcost,buyamount,sellcost,description,step,wantfame,cashcomplete,upgradetime,maxbarrel,sprite,unlock,upgrade_type,dummy_column,dangapercashcomplete,dangatime,,,,,,,,,,,,,,,,,,,
,6100,업글(60),탱크(61),없음(0),우유 탱크 Lv.0,0,-1,저급(0),0,imtan001,0,0,0,0,1,1,우유 탱크 Lv.0,0,0,10,0,7,milkTank00,1,2,0,2,300,,,,,,,,,,,,,,,,,,,
,6101,업글(60),탱크(61),없음(0),우유 탱크 Lv.1,0,-1,저급(0),0,imtan001,0,0,40,0,1,1,우유 탱크 Lv.1,1,0,30,90,8,milkTank00,1,2,0,2,300,,,,,,,,,,,,,,,,,,,
,6102,업글(60),탱크(61),없음(0),우유 탱크 Lv.2,0,-1,저급(0),0,imtan002,0,0,110,0,1,1,우유 탱크 Lv.2,2,0,30,210,9,milkTank01,2,2,0,2,300,,,,,,,,,,,,,,,,,,,
,6103,업글(60),탱크(61),없음(0),우유 탱크 Lv.3,0,-1,저급(0),0,imtan002,0,0,190,0,1,1,우유 탱크 Lv.3,3,0,40,600,10,milkTank01,3,2,0,2,300,,,,,,,,,,,,,,,,,,,
,6104,업글(60),탱크(61),없음(0),우유 탱크 Lv.4,0,-1,저급(0),0,imtan002,0,0,310,0,1,1,우유 탱크 Lv.4,4,0,40,1200,11,milkTank01,4,2,0,2,300,,,,,,,,,,,,,,,,,,,
,6105,업글(60),탱크(61),없음(0),우유 탱크 Lv.5,0,-1,저급(0),0,imtan003,0,0,430,0,1,1,우유 탱크 Lv.5,5,0,40,2400,12,milkTank02,6,2,0,2,300,,,,,,,,,,,,,,,,,,,
,6106,업글(60),탱크(61),없음(0),우유 탱크 Lv.6,0,-1,저급(0),0,imtan003,0,0,540,0,1,1,우유 탱크 Lv.6,6,0,40,3600,13,milkTank02,8,2,0,2,300,,,,,,,,,,,,,,,,,,,
,6107,업글(60),탱크(61),없음(0),우유 탱크 Lv.7,0,-1,저급(0),0,imtan003,0,0,650,0,1,1,우유 탱크 Lv.7,7,0,50,7200,14,milkTank02,10,2,0,2,300,,,,,,,,,,,,,,,,,,,
,6108,업글(60),탱크(61),없음(0),우유 탱크 Lv.8,0,-1,저급(0),0,imtan004,0,0,770,0,1,1,우유 탱크 Lv.8,8,0,50,10800,15,milkTank03,12,2,0,2,300,,,,,,,,,,,,,,,,,,,
,6109,업글(60),탱크(61),없음(0),우유 탱크 Lv.9,0,-1,저급(0),0,imtan004,0,0,980,0,1,1,우유 탱크 Lv.9,9,0,50,14400,16,milkTank03,14,2,0,2,300,,,,,,,,,,,,,,,,,,,
,6110,업글(60),탱크(61),없음(0),우유 탱크 Lv.10,0,-1,저급(0),0,imtan004,0,0,1110,0,1,1,우유 탱크 Lv.10,10,0,60,21600,17,milkTank03,16,2,0,2,300,,,,,,,,,,,,,,,,,,,
,6111,업글(60),탱크(61),없음(0),우유 탱크 Lv.11,0,-1,저급(0),0,imtan005,0,0,1670,0,1,1,우유 탱크 Lv.11,11,0,60,28800,18,milkTank04,18,2,0,2,300,,,,,,,,,,,,,,,,,,,
,6112,업글(60),탱크(61),없음(0),우유 탱크 Lv.12,0,-1,저급(0),0,imtan005,0,0,1830,0,1,1,우유 탱크 Lv.12,12,0,70,36000,19,milkTank04,20,2,0,2,300,,,,,,,,,,,,,,,,,,,
,6113,업글(60),탱크(61),없음(0),우유 탱크 Lv.13,0,-1,저급(0),0,imtan005,0,0,2000,0,1,1,우유 탱크 Lv.13,13,0,80,43200,20,milkTank04,22,2,0,2,300,,,,,,,,,,,,,,,,,,,
,6114,업글(60),탱크(61),없음(0),우유 탱크 Lv.14,0,-1,저급(0),0,imtan006,0,0,2720,0,1,1,우유 탱크 Lv.14,14,0,90,64800,21,milkTank05,24,2,0,2,300,,,,,,,,,,,,,,,,,,,
,6115,업글(60),탱크(61),없음(0),우유 탱크 Lv.15,0,-1,저급(0),0,imtan006,0,0,3240,0,1,1,우유 탱크 Lv.15,15,0,100,86400,22,milkTank05,27,2,0,2,300,,,,,,,,,,,,,,,,,,,
,6116,업글(60),탱크(61),없음(0),우유 탱크 Lv.16,0,-1,저급(0),0,imtan006,0,0,3420,0,1,1,우유 탱크 Lv.16,16,0,110,115200,23,milkTank05,30,2,0,2,300,,,,,,,,,,,,,,,,,,,
,6117,업글(60),탱크(61),없음(0),우유 탱크 Lv.17,0,-1,저급(0),0,imtan007,0,0,4410,0,1,1,우유 탱크 Lv.17,17,0,120,144000,24,milkTank06,33,2,0,2,300,,,,,,,,,,,,,,,,,,,
,6118,업글(60),탱크(61),없음(0),우유 탱크 Lv.18,0,-1,저급(0),0,imtan007,0,0,4680,0,1,1,우유 탱크 Lv.18,18,0,130,172800,26,milkTank06,36,2,0,2,300,,,,,,,,,,,,,,,,,,,
,6119,업글(60),탱크(61),없음(0),우유 탱크 Lv.19,0,-1,저급(0),0,imtan007,0,0,4950,0,1,1,우유 탱크 Lv.19,19,0,140,201600,28,milkTank06,40,2,0,2,300,,,,,,,,,,,,,,,,,,,
,6120,업글(60),탱크(61),없음(0),우유 탱크 Lv.20,0,-1,저급(0),0,imtan007,0,0,6120,0,1,1,우유 탱크 Lv.20,20,0,150,230400,30,milkTank06,45,2,0,2,300,,,,,,,,,,,,,,,,,,,
,6121,업글(60),탱크(61),없음(0),우유 탱크 Lv.21,0,-1,저급(0),0,imtan008,0,0,31000,0,1,1,우유 탱크 Lv.21,21,0,160,259200,33,milkTank07,50,2,0,2,300,,,,,,,,,,,,,,,,,,,
,6122,업글(60),탱크(61),없음(0),우유 탱크 Lv.22,0,-1,저급(0),0,imtan008,0,0,155000,0,1,1,우유 탱크 Lv.22,22,0,200,288000,36,milkTank07,54,2,0,2,300,,,,,,,,,,,,,,,,,,,
,6123,업글(60),탱크(61),없음(0),우유 탱크 Lv.23,0,-1,저급(0),0,imtan008,0,0,775000,0,1,1,우유 탱크 Lv.23,23,0,230,316800,39,milkTank07,58,2,0,2,300,,,,,,,,,,,,,,,,,,,
,6124,업글(60),탱크(61),없음(0),우유 탱크 Lv.24,0,-1,저급(0),0,imtan009,0,0,930000,0,1,1,우유 탱크 Lv.24,24,0,270,345600,41,milkTank08,61,2,0,2,300,,,,,,,,,,,,,,,,,,,
,6125,업글(60),탱크(61),없음(0),우유 탱크 Lv.25,0,-1,저급(0),0,imtan009,0,0,1116000,0,1,1,우유 탱크 Lv.25,25,0,310,374400,42,milkTank08,63,2,0,2,300,,,,,,,,,,,,,,,,,,,
,6126,업글(60),탱크(61),없음(0),우유 탱크 Lv.26,0,-1,저급(0),0,imtan010,0,0,1340000,0,1,1,우유 탱크 Lv.26,26,0,350,403200,43,milkTank09,65,2,0,2,300,,,,,,,,,,,,,,,,,,,
,6127,업글(60),탱크(61),없음(0),우유 탱크 Lv.27,0,-1,저급(0),0,imtan010,0,0,1608000,0,1,1,우유 탱크 Lv.27,27,0,390,432000,44,milkTank09,67,2,0,2,300,,,,,,,,,,,,,,,,,,,
,6128,업글(60),탱크(61),없음(0),우유 탱크 Lv.28,0,-1,저급(0),0,imtan010,0,0,1930000,0,1,1,우유 탱크 Lv.28,28,0,430,460800,45,milkTank09,69,2,0,2,300,,,,,,,,,,,,,,,,,,,
//품질향상 시설 신선도 추가 ( 거래시 + a ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label(freshcool),itemcode,category,subcategory,equpslot,itemname,activate,toplist,grade,discount,icon,playerlv,houselv,gamecost,cashcost,buyamount,sellcost,description,step,wantfame,cashcomplete,upgradetime,plusfresh,sprite,unlock,upgrade_type,dummy_column,dangapercashcomplete,dangatime,,,,,,,,,,,,,,,,,,,
,6200,업글(60),품질향상(62),없음(0),품질향상 Lv.0,0,-1,저급(0),0,ifres001,0,0,0,0,1,1,품질향상 Lv.0,0,0,10,0,0,null,12,3,0,2,300,,,,,,,,,,,,,,,,,,,
,6201,업글(60),품질향상(62),없음(0),품질향상 Lv.1,0,-1,저급(0),0,ifres001,0,0,930,0,1,1,품질향상 Lv.1,1,0,40,600,1,freshcool_01,12,3,0,2,300,,,,,,,,,,,,,,,,,,,
,6202,업글(60),품질향상(62),없음(0),품질향상 Lv.2,0,-1,저급(0),0,ifres002,0,0,1130,0,1,1,품질향상 Lv.2,2,0,50,1200,2,freshcool_02,14,3,0,2,300,,,,,,,,,,,,,,,,,,,
,6203,업글(60),품질향상(62),없음(0),품질향상 Lv.3,0,-1,저급(0),0,ifres002,0,0,1330,0,1,1,품질향상 Lv.3,3,0,50,1800,3,freshcool_02,16,3,0,2,300,,,,,,,,,,,,,,,,,,,
,6204,업글(60),품질향상(62),없음(0),품질향상 Lv.4,0,-1,저급(0),0,ifres002,0,0,1690,0,1,1,품질향상 Lv.4,4,0,50,3600,4,freshcool_02,18,3,0,2,300,,,,,,,,,,,,,,,,,,,
,6205,업글(60),품질향상(62),없음(0),품질향상 Lv.5,0,-1,저급(0),0,ifres003,0,0,1910,0,1,1,품질향상 Lv.5,5,0,60,5400,5,freshcool_03,20,3,0,2,300,,,,,,,,,,,,,,,,,,,
,6206,업글(60),품질향상(62),없음(0),품질향상 Lv.6,0,-1,저급(0),0,ifres003,0,0,2890,0,1,1,품질향상 Lv.6,6,0,60,7200,6,freshcool_03,22,3,0,2,300,,,,,,,,,,,,,,,,,,,
,6207,업글(60),품질향상(62),없음(0),품질향상 Lv.7,0,-1,저급(0),0,ifres003,0,0,3170,0,1,1,품질향상 Lv.7,7,0,70,14400,7,freshcool_03,24,3,0,2,300,,,,,,,,,,,,,,,,,,,
,6208,업글(60),품질향상(62),없음(0),품질향상 Lv.8,0,-1,저급(0),0,ifres004,0,0,3460,0,1,1,품질향상 Lv.8,8,0,80,28800,8,freshcool_04,26,3,0,2,300,,,,,,,,,,,,,,,,,,,
,6209,업글(60),품질향상(62),없음(0),품질향상 Lv.9,0,-1,저급(0),0,ifres004,0,0,4710,0,1,1,품질향상 Lv.9,9,0,90,43200,9,freshcool_04,28,3,0,2,300,,,,,,,,,,,,,,,,,,,
,6210,업글(60),품질향상(62),없음(0),품질향상 Lv.10,0,-1,저급(0),0,ifres004,0,0,5600,0,1,1,품질향상 Lv.10,10,0,100,86400,10,freshcool_04,30,3,0,2,300,,,,,,,,,,,,,,,,,,,
,6211,업글(60),품질향상(62),없음(0),품질향상 Lv.11,0,-1,저급(0),0,ifres005,0,0,6000,0,1,1,품질향상 Lv.11,11,0,110,129600,11,freshcool_05,32,3,0,2,300,,,,,,,,,,,,,,,,,,,
,6212,업글(60),품질향상(62),없음(0),품질향상 Lv.12,0,-1,저급(0),0,ifres005,0,0,7600,0,1,1,품질향상 Lv.12,12,0,120,172800,12,freshcool_05,34,3,0,2,300,,,,,,,,,,,,,,,,,,,
,6213,업글(60),품질향상(62),없음(0),품질향상 Lv.13,0,-1,저급(0),0,ifres005,0,0,8100,0,1,1,품질향상 Lv.13,13,0,130,216000,13,freshcool_05,36,3,0,2,300,,,,,,,,,,,,,,,,,,,
,6214,업글(60),품질향상(62),없음(0),품질향상 Lv.14,0,-1,저급(0),0,ifres006,0,0,8600,0,1,1,품질향상 Lv.14,14,0,140,259200,14,freshcool_06,38,3,0,2,300,,,,,,,,,,,,,,,,,,,
,6215,업글(60),품질향상(62),없음(0),품질향상 Lv.15,0,-1,저급(0),0,ifres006,0,0,10500,0,1,1,품질향상 Lv.15,15,0,150,302400,15,freshcool_06,40,3,0,2,300,,,,,,,,,,,,,,,,,,,
,6216,업글(60),품질향상(62),없음(0),품질향상 Lv.16,0,-1,저급(0),0,ifres006,0,0,11100,0,1,1,품질향상 Lv.16,16,0,150,345600,16,freshcool_06,42,3,0,2,300,,,,,,,,,,,,,,,,,,,
,6217,업글(60),품질향상(62),없음(0),품질향상 Lv.17,0,-1,저급(0),0,ifres007,0,0,11600,0,1,1,품질향상 Lv.17,17,0,160,388800,17,freshcool_07,44,3,0,2,300,,,,,,,,,,,,,,,,,,,
,6218,업글(60),품질향상(62),없음(0),품질향상 Lv.18,0,-1,저급(0),0,ifres007,0,0,12100,0,1,1,품질향상 Lv.18,18,0,160,432000,18,freshcool_07,46,3,0,2,300,,,,,,,,,,,,,,,,,,,
,6219,업글(60),품질향상(62),없음(0),품질향상 Lv.19,0,-1,저급(0),0,ifres007,0,0,12700,0,1,1,품질향상 Lv.19,19,0,170,475200,19,freshcool_07,48,3,0,2,300,,,,,,,,,,,,,,,,,,,
,6220,업글(60),품질향상(62),없음(0),품질향상 Lv.20,0,-1,저급(0),0,ifres007,0,0,13200,0,1,1,품질향상 Lv.20,20,0,180,518400,20,freshcool_07,50,3,0,2,300,,,,,,,,,,,,,,,,,,,
,6221,업글(60),품질향상(62),없음(0),품질향상 Lv.21,0,-1,저급(0),0,ifres008,0,0,66000,0,1,1,품질향상 Lv.21,21,0,210,561600,24,freshcool_08,53,3,0,2,300,,,,,,,,,,,,,,,,,,,
,6222,업글(60),품질향상(62),없음(0),품질향상 Lv.22,0,-1,저급(0),0,ifres008,0,0,330000,0,1,1,품질향상 Lv.22,22,0,260,604800,32,freshcool_08,57,3,0,2,300,,,,,,,,,,,,,,,,,,,
,6223,업글(60),품질향상(62),없음(0),품질향상 Lv.23,0,-1,저급(0),0,ifres008,0,0,1650000,0,1,1,품질향상 Lv.23,23,0,340,648000,44,freshcool_08,60,3,0,2,300,,,,,,,,,,,,,,,,,,,
,6224,업글(60),품질향상(62),없음(0),품질향상 Lv.24,0,-1,저급(0),0,ifres009,0,0,1980000,0,1,1,품질향상 Lv.24,24,0,420,691200,46,freshcool_09,62,3,0,2,300,,,,,,,,,,,,,,,,,,,
,6225,업글(60),품질향상(62),없음(0),품질향상 Lv.25,0,-1,저급(0),0,ifres009,0,0,2376000,0,1,1,품질향상 Lv.25,25,0,500,734400,48,freshcool_09,64,3,0,2,300,,,,,,,,,,,,,,,,,,,
,6226,업글(60),품질향상(62),없음(0),품질향상 Lv.26,0,-1,저급(0),0,ifres009,0,0,2852000,0,1,1,품질향상 Lv.26,26,0,580,777600,50,freshcool_09,66,3,0,2,300,,,,,,,,,,,,,,,,,,,
,6227,업글(60),품질향상(62),없음(0),품질향상 Lv.27,0,-1,저급(0),0,ifres009,0,0,3423000,0,1,1,품질향상 Lv.27,27,0,660,820800,52,freshcool_09,68,3,0,2,300,,,,,,,,,,,,,,,,,,,
,6228,업글(60),품질향상(62),없음(0),품질향상 Lv.28,0,-1,저급(0),0,ifres009,0,0,4108000,0,1,1,품질향상 Lv.28,28,0,740,864000,54,freshcool_09,70,3,0,2,300,,,,,,,,,,,,,,,,,,,
//정화 시설 > 질병 예방 확률 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label(pure),itemcode,category,subcategory,equpslot,itemname,activate,toplist,grade,discount,icon,playerlv,houselv,gamecost,cashcost,buyamount,sellcost,description,step,wantfame,cashcomplete,upgradetime,dis,sprite,unlock,upgrade_type,dummy_column,dangapercashcomplete,dangatime,,,,,,,,,,,,,,,,,,,
,6300,업글(60),축사환경개선(63),없음(0),축사 환경 개선 Lv.0,0,-1,저급(0),0,ipure001,0,0,0,0,1,1,축사 환경 개선 Lv.0,0,0,10,0,0,floor_00,3,4,0,2,300,,,,,,,,,,,,,,,,,,,
,6301,업글(60),축사환경개선(63),없음(0),축사 환경 개선 Lv.1,0,-1,저급(0),0,ipure001,0,0,40,0,1,1,축사 환경 개선 Lv.1,1,0,30,90,2,floor_00,3,4,0,2,300,,,,,,,,,,,,,,,,,,,
,6302,업글(60),축사환경개선(63),없음(0),축사 환경 개선 Lv.2,0,-1,저급(0),0,ipure002,0,0,110,0,1,1,축사 환경 개선 Lv.2,2,0,30,210,4,floor_01,4,4,0,2,300,,,,,,,,,,,,,,,,,,,
,6303,업글(60),축사환경개선(63),없음(0),축사 환경 개선 Lv.3,0,-1,저급(0),0,ipure002,0,0,180,0,1,1,축사 환경 개선 Lv.3,3,0,40,600,6,floor_01,5,4,0,2,300,,,,,,,,,,,,,,,,,,,
